1755373646, 2m, 144175041, FT8, M0BAA, JO01NC, 223, Rx, ON4QJ, JO20KW, 209, 1
1755373691, 20m, 14075025, FT8, G1ZZC, IO90TT, 223, Rx, HG8LXL, KN06BR51, 239, 10
1755373692, 20m, 14075886, FT8, G1ZZC, IO90TT, 223, Rx, SP2MF, JO94GL65, 269, -17
1755373692, 20m, 14075790, FT8, G1ZZC, IO90TT, 223, Rx, RU3FA, KO84RV16, 54, -7
1755373694, 20m, 14075832, FT8, G1ZZC, IO90TT, 223, Rx, HA4UC, JN87WB, 239, -15
1755373409, 10m, 28075744, FT8, G-13038, IO90BR, 223, Rx, DO7RMA, JO61HK, 230, -10
1755373424, 10m, 28075478, FT8, G-13038, IO90BR, 223, Rx, PU5BSW, GG52EW, 108, -15
1755373439, 10m, 28075385, FT8, G-13038, IO90BR, 223, Rx, PY2XAT, GG66QO, 108, -15
1755373499, 10m, 28075032, FT8, G-13038, IO90BR, 223, Rx, DN9EL, JO60PU, 230, -5
1755373499, 10m, 28075581, FT8, G-13038, IO90BR, 223, Rx, EA8ZG, IL28GD83, 29, -14
1755373499, 10m, 28076097, FT8, G-13038, IO90BR, 223, Rx, DJ1FH, JO52IK, 230, -5
1755373499, 10m, 28075269, FT8, G-13038, IO90BR, 223, Rx, PP5HR, GG53IE, 108, -16
1755373559, 10m, 28076592, FT8, G-13038, IO90BR, 223, Rx, ON7GB, JO21IA30, 209, -18
1755373559, 10m, 28075235, FT8, G-13038, IO90BR, 223, Rx, DL5NCN, JN59LM, 230, -8
1755373559, 10m, 28075228, FT8, G-13038, IO90BR, 223, Rx, PY4PTO, GG78ML, 108, -11
1755373574, 10m, 28076425, FT8, G-13038, IO90BR, 223, Rx, YU0X, JN95UN, 296, -9
1755373634, 10m, 28076206, FT8, G-13038, IO90BR, 223, Rx, IK6CGO, JN63PF51, 248, -7
1755373649, 10m, 28075113, FT8, G-13038, IO90BR, 223, Rx, SP5IDR, KO01TV, 269, -7
1755373664, 10m, 28074963, FT8, G-13038, IO90BR, 223, Rx, DN9KL, JO71IW, 230, -6
1755373694, 10m, 28076018, FT8, G-13038, IO90BR, 223, Rx, PY5TD, GG54JK, 108, -12
1755373694, 10m, 28074429, FT8, G-13038, IO90BR, 223, Rx, PY3LB, GG40FC, 108, -16
1755373694, 10m, 28075587, FT8, G-13038, IO90BR, 223, Rx, PU3NKP, GG40KH, 108, -15
1755373692, 20m, 14075398, FT8, G4IYT, IO91QV, 223, Rx, F5PEG, JN28EW81, 227, -6
1755373692, 20m, 14076616, FT8, G4IYT, IO91QV, 223, Rx, R3BP, KO96BH, 54, -12
1755373691, 15m, 21075793, FT8, G0VDE, JO02BF, 223, Rx, PT7PT, HI03MG, 108, -2
1755373692, 15m, 21075228, FT8, G0VDE, JO02BF, 223, Rx, UR4QWW, KN77NU, 288, 17
1755373692, 20m, 14076318, FT8, M0MPQ, IO92UK, 223, Rx, EA7KO, IM67XI34, 281, -1
1755373692, 20m, 14075617, FT8, M0MPQ, IO92UK, 223, Rx, SP7NC, JO91OO, 269, 6
1755373692, 20m, 14075490, FT8, M0MPQ, IO92UK, 223, Rx, DG5RN, JN59RG, 230, 0
1755373692, 20m, 14075616, FT8, M0MPQ, IO92UK, 223, Rx, R2DN, KO95LL, 54, 6
1755373694, 20m, 14075854, FT8, M0MPQ, IO92UK, 223, Rx, HA4UC, JN87WB, 239, -24
1755373694, 20m, 14074867, FT8, M0MPQ, IO92UK, 223, Rx, KG4OJT, FM18IV43, 291, -24
1755373693, 20m, 14076644, FT8, G6IQI, IO91HA, 223, Rx, R3BP, KO96BH, 54, -8
1755373697, 20m, 14075919, FT8, G6IQI, IO91HA, 223, Rx, SP2MF, JO94GL65, 269, -19
1755373650, 20m, 14076199, FT8, G0TTV, JO02PN, 223, Rx, VE9ML, FN76OE, 1, -19
1755373650, 20m, 14075244, FT8, G0TTV, JO02PN, 223, Rx, DL2FX, JN58AK56, 230, -18
1755373650, 20m, 14075195, FT8, G0TTV, JO02PN, 223, Rx, SV2SIH, KN10MS, 236, -19
1755373650, 15m, 21075270, FT8, G0TTV, JO02PN, 223, Rx, UR4QWW, KN77NU, 288, -6
1755373676, 20m, 14075179, FT8, G0GAA, JO02NJ, 223, Rx, LY2NP, KO24OS, 146, 2
1755373676, 20m, 14075668, FT8, G0GAA, JO02NJ, 223, Rx, R4AAR, LN18, 54, -12
1755373676, 20m, 14074384, FT8, G0GAA, JO02NJ, 223, Rx, IZ1GEA, JN62WB, 248, -10
1755373679, 20m, 14075832, FT8, G0GAA, JO02NJ, 223, Rx, R1BEO, KP50LM, 54, -11
1755373679, 20m, 14075707, FT8, G0GAA, JO02NJ, 223, Rx, K4SYT, EM90ET, 291, -20
1755373679, 20m, 14074413, FT8, G0GAA, JO02NJ, 223, Rx, SV2CLJ, KN10KP, 236, -16
1755373650, 15m, 21075163, FT8, GX0FRE, IO82UC, 223, Rx, DO6HG, JN49OC28, 230, -1
1755373650, 15m, 21075721, FT8, GX0FRE, IO82UC, 223, Rx, UR4QWW, KN77NU, 288, -12
1755373650, 15m, 21076221, FT8, GX0FRE, IO82UC, 223, Rx, DH8HHA, JN58TC59, 230, -15
1755373650, 20m, 14075924, FT8, GX0FRE, IO82UC, 223, Rx, DG2YFZ, JO41FW, 230, -6
1755373650, 20m, 14076425, FT8, GX0FRE, IO82UC, 223, Rx, DL3RC, JO44, 230, -19
