1755345464, 20m, 14074886, FT8, G8IXM, JO02PP29, 223, Tx, YO5PSE, KN07XB18, 275, -9
1755345569, 20m, 14076415, FT8, M7GGV, IO91QM, 223, Tx, YO5PSE, KN07XB18, 275, -19
1755345731, 2m, 144175366, FT8, G0BIX, JO01GI, 223, Tx, G4KWQ, IO92AQ09, 223, -5
1755345570, 20m, 14076408, FT8, M7GGV, IO91QM, 223, Tx, RA2FKD, KO04DP, 126, -18
1755345599, 20m, 14075301, FT8, 2E0ROJ, IO92LM, 223, Tx, RA2FKD, KO04DP, 126, -11
1755345704, 20m, 14075510, FT8, M5ADL, IO80XS, 223, Tx, RA2FKD, KO04DP, 126, -17
1755345719, 20m, 14076706, FT8, M0XFI, IO92CK, 223, Tx, RA2FKD, KO04DP, 126, -5
1755345734, 20m, 14076068, FT8, M7DLB, IO90PS, 223, Tx, RA2FKD, KO04DP, 126, -15
1755345732, 40m, 7075125, FT8, M6INJ, IO90KT, 223, Tx, ON5ZZ, JO11VA36, 209, 0
1755345747, 20m, 14076692, FT8, M0XFI, IO92CK, 223, Tx, F4GBD, JN05BV, 227, -13
1755345717, 20m, 14076689, FT8, M0XFI, IO92CK, 223, Tx, HA5IS, JN97NN, 239, -12
1755345761, 20m, 14076053, FT8, M7DLB, IO90PS, 223, Tx, HA5IS, JN97NN, 239, 0
1755345732, 40m, 7075116, FT8, M6INJ, IO90KT, 223, Tx, DG0JBA, JO60LU, 230, -18
1755345734, 20m, 14076061, FT8, M7DLB, IO90PS, 223, Tx, DL1HYZ, JO61AH, 230, -24
1755345747, 20m, 14076691, FT8, M0XFI, IO92CK, 223, Tx, SP3MZ, JO82JL, 269, -24
1755345747, 20m, 14076694, FT8, M0XFI, IO92CK, 223, Tx, IU2RPE, JN45JS, 248, -15
1755345731, 20m, 14076020, FT8, M7DLB, IO90PS, 223, Tx, IZ3LES, JN65HR13, 248, -9
1755345732, 20m, 14075545, FT8, 2E0KKH, JO01JD, 223, Tx, SP9FZH, JN99QQ, 269, -9
1755345732, 20m, 14076059, FT8, M7DLB, IO90PS, 223, Tx, SP9FZH, JN99QQ, 269, -23
1755345747, 20m, 14076697, FT8, M0XFI, IO92CK, 223, Tx, SP9FZH, JN99QQ, 269, -8
1755345733, 40m, 7075115, FT8, M6INJ, IO90KT, 223, Tx, DG3EAJ, JO31IJ, 230, -10
1755345717, 20m, 14076396, FT8, M7GGV, IO91QM, 223, Tx, OH7GIQ, KP32QV, 224, -11
1755345720, 20m, 14075675, FT8, 2E0KKH, JO01JD, 223, Tx, OH1BDF, KP00OK, 224, -9
1755345641, 20m, 14075512, FT8, MW7AHM, IO81JP, 294, Tx, SA7PGN, JO87IV74, 284, -9
1755345720, 20m, 14076945, FT8, M0XFI, IO92CK, 223, Tx, S53M, JN86CR, 499, -7
1755345732, 40m, 7075715, FT8, GW7HQL, IO81IK, 294, Tx, LA3LJA, JP54EH, 266, -15
1755345732, 40m, 7075117, FT8, M6INJ, IO90KT, 223, Tx, LA3LJA, JP54EH, 266, -15
1755345495, 20m, 14076397, FT8, M7GGV, IO91QM, 223, Tx, DL8EBM, JN58SC, 230, -13
1755345705, 20m, 14076694, FT8, M0XFI, IO92CK, 223, Tx, DL8EBM, JN58SC, 230, -14
1755345764, 20m, 14076059, FT8, M7DLB, IO90PS, 223, Tx, KA2MGE, FN02NX82, 291, -24
1755345747, 20m, 14076702, FT8, M0XFI, IO92CK, 223, Tx, IU8PLP, JN70HV, 248, -20
1755345765, 15m, 21074932, FT8, M0KKB, JO01MG, 223, Tx, KT3Q, FN10UL, 291, -12
1755345690, 2m, 144175223, FT8, G0BIX, JO01GI, 223, Tx, GB0SNB.SDR, JO01DQ, 223, -4
1755345762, 10m, 28074678, FT8, G3UAX, IO91MK, 223, Tx, TK4BB, JN42QP, 214, -18
1755345615, 20m, 14074884, FT8, G4MHJ, JO01BL74, 223, Tx, UA3245SWL, KO85NT, 54, -15
1755345641, 10m, 28075720, FT8, G4DBW, JO01NI36, 223, Tx, G0RPM, IO91WP92, 223, -14
1755345585, 20m, 14075288, FT8, 2E0ROJ, IO92LM, 223, Tx, HB9EXX, JN36HQ, 287, -13
1755345735, 20m, 14076694, FT8, M0XFI, IO92CK, 223, Tx, HB9EXX, JN36HQ, 287, -10
1755345735, 20m, 14074881, FT8, G4MHJ, JO01BL74, 223, Tx, RN4WA, LO66PU, 54, -18
1755345720, 10m, 28074663, FT8, G3UAX, IO91MK, 223, Tx, SP2SJG.4, JO93VG, 269, -15
1755345615, 20m, 14081033, FT4, MW0CNA, IO81AP45, 294, Tx, OE5EAN, JN68XE, 206, -11
1755345599, 20m, 14075307, FT8, 2E0ROJ, IO92LM, 223, Tx, IS0BHY, JM49LL68, 225, -10
1755345750, 20m, 14074407, FT8, MW7FGG, IO81HQ, 294, Tx, HB9CQK, JN47GA, 287, -16
1755345717, 20m, 14076402, FT8, M7GGV, IO91QM, 223, Tx, SA5BHL, JO89EA, 284, -10
1755345705, 20m, 14075466, FT8, GB2CLH, JO02PW, 223, Tx, OK1TRJ, JN79MD, 503, -23
