2025-08-15_19:17:29, 2m, 144176426, FT8, G7GXK, IO90IS, 223, Rx, G8SEI, IO92FO, 223, -17
2025-08-15_19:17:26, 2m, 144175971, FT8, G0JCC, IO82MA21, 223, Rx, G8SEI, IO92FO, 223, -8
2025-08-15_19:17:27, 2m, 144175877, FT8, G0LRD, JO02AC, 223, Rx, G8SEI, IO92FO, 223, -14
2025-08-15_19:18:42, 2m, 144174779, FT8, G0LRD, JO02AC, 223, Rx, M0ALA, IO93GO, 223, -17
2025-08-15_19:17:26, 2m, 144176149, FT8, G4KPZ, IO92WK, 223, Rx, G8SEI, IO92FO, 223, 23
2025-08-15_19:18:41, 2m, 144175051, FT8, G4KPZ, IO92WK, 223, Rx, M0ALA, IO93GO, 223, 11
2025-08-15_19:18:56, 2m, 144175178, FT8, G4KPZ, IO92WK, 223, Rx, G0VXM, IO93IR61, 223, -12
2025-08-15_19:17:26, 2m, 144175928, FT8, G4KWQ, IO92AQ09, 223, Rx, G8SEI, IO92FO, 223, 33
2025-08-15_19:17:26, 2m, 144175012, FT8, G4KWQ, IO92AQ09, 223, Rx, G0VXM, IO93IR61, 223, -13
2025-08-15_19:18:44, 2m, 144174829, FT8, G4KWQ, IO92AQ09, 223, Rx, M0ALA, IO93GO, 223, -13
2025-08-15_19:18:57, 2m, 144176084, FT8, G0VLJ, IO80SO, 223, Rx, G8SEI, IO92FO, 223, -15
2025-08-15_19:18:44, 2m, 144174723, FT8, M0BAA, JO01NC, 223, Rx, M0ALA, IO93GO, 223, -23
2025-08-15_19:19:26, 2m, 144175889, FT8, M0BAA, JO01NC, 223, Rx, DH3FBI, JN49NX, 230, -9
2025-08-15_19:20:56, 2m, 144174997, FT8, M0BAA, JO01NC, 223, Rx, PD7JLP, JO32KQ, 263, -13
2025-08-15_19:18:15, 2m, 144175875, FT8, M0AAA, IO91NL, 223, Rx, G8SEI, IO92FO, 223, -20
2025-08-15_19:19:00, 2m, 144174781, FT8, M0AAA, IO91NL, 223, Rx, M0ALA, IO93GO, 223, -15
2025-08-15_19:16:59, 2m, 144174522, FT8, G4RRA, IO80BS81, 223, Rx, G0VXM, IO93IR61, 223, -14
2025-08-15_19:17:29, 2m, 144175470, FT8, G4RRA, IO80BS81, 223, Rx, G8SEI, IO92FO, 223, -14
2025-08-15_19:18:44, 2m, 144174345, FT8, G4RRA, IO80BS81, 223, Rx, M0ALA, IO93GO, 223, -9
2025-08-15_19:21:26, 2m, 144175619, FT8, G7GXK, IO90IS, 223, Rx, PD7JLP, JO32KQ, 263, -15
2025-08-15_19:17:15, 2m, 144176009, FT8, 2E0HSV, IO92MF, 223, Rx, G8SEI, IO92FO, 223, -16
