1755281849, 2m, 144176426, FT8, G7GXK, IO90IS, 223, Rx, G8SEI, IO92FO, 223, -17
1755281846, 2m, 144175971, FT8, G0JCC, IO82MA21, 223, Rx, G8SEI, IO92FO, 223, -8
1755281847, 2m, 144175877, FT8, G0LRD, JO02AC, 223, Rx, G8SEI, IO92FO, 223, -14
1755281922, 2m, 144174779, FT8, G0LRD, JO02AC, 223, Rx, M0ALA, IO93GO, 223, -17
1755281846, 2m, 144176149, FT8, G4KPZ, IO92WK, 223, Rx, G8SEI, IO92FO, 223, 23
1755281921, 2m, 144175051, FT8, G4KPZ, IO92WK, 223, Rx, M0ALA, IO93GO, 223, 11
1755281936, 2m, 144175178, FT8, G4KPZ, IO92WK, 223, Rx, G0VXM, IO93IR61, 223, -12
1755281846, 2m, 144175928, FT8, G4KWQ, IO92AQ09, 223, Rx, G8SEI, IO92FO, 223, 33
1755281846, 2m, 144175012, FT8, G4KWQ, IO92AQ09, 223, Rx, G0VXM, IO93IR61, 223, -13
1755281924, 2m, 144174829, FT8, G4KWQ, IO92AQ09, 223, Rx, M0ALA, IO93GO, 223, -13
1755281937, 2m, 144176084, FT8, G0VLJ, IO80SO, 223, Rx, G8SEI, IO92FO, 223, -15
1755281924, 2m, 144174723, FT8, M0BAA, JO01NC, 223, Rx, M0ALA, IO93GO, 223, -23
1755281966, 2m, 144175889, FT8, M0BAA, JO01NC, 223, Rx, DH3FBI, JN49NX, 230, -9
1755282056, 2m, 144174997, FT8, M0BAA, JO01NC, 223, Rx, PD7JLP, JO32KQ, 263, -13
1755281895, 2m, 144175875, FT8, M0AAA, IO91NL, 223, Rx, G8SEI, IO92FO, 223, -20
1755281940, 2m, 144174781, FT8, M0AAA, IO91NL, 223, Rx, M0ALA, IO93GO, 223, -15
1755281819, 2m, 144174522, FT8, G4RRA, IO80BS81, 223, Rx, G0VXM, IO93IR61, 223, -14
1755281849, 2m, 144175470, FT8, G4RRA, IO80BS81, 223, Rx, G8SEI, IO92FO, 223, -14
1755281924, 2m, 144174345, FT8, G4RRA, IO80BS81, 223, Rx, M0ALA, IO93GO, 223, -9
1755282086, 2m, 144175619, FT8, G7GXK, IO90IS, 223, Rx, PD7JLP, JO32KQ, 263, -15
1755281835, 2m, 144176009, FT8, 2E0HSV, IO92MF, 223, Rx, G8SEI, IO92FO, 223, -16
1755282086, 2m, 144174974, FT8, G0JDL, JO02SI84, 223, Rx, G0VXM, IO93IR61, 223, 2
1755282086, 2m, 144175065, FT8, G0JDL, JO02SI84, 223, Rx, PD7JLP, JO32KQ, 263, -7
1755282086, 2m, 144174500, FT8, G0JDL, JO02SI84, 223, Rx, DD7DAC, JO31WP37, 230, -14
1755282146, 2m, 144176209, FT8, G0JDL, JO02SI84, 223, Rx, PD1B, JO32GQ49, 263, -2
1755281996, 2m, 144175947, FT8, G4SWX, JO02RF, 223, Rx, PA0KJK, JO22JL, 263, -8
1755281997, 2m, 144175963, FT8, G4SWX, JO02RF, 223, Rx, DH3FBI, JN49NX, 230, -13
1755282056, 2m, 144175061, FT8, G4SWX, JO02RF, 223, Rx, PD7JLP, JO32KQ, 263, -5
1755282146, 2m, 144176207, FT8, G4SWX, JO02RF, 223, Rx, PD1B, JO32GQ49, 263, -5
1755281908, 2m, 144176071, FT8, G4PIQ, JO02OD, 223, Rx, PA0KJK, JO22JL, 263, -12
1755281953, 2m, 144174750, FT8, G4PIQ, JO02OD, 223, Rx, M0ALA, IO93GO, 223, -18
1755281968, 2m, 144175095, FT8, G4PIQ, JO02OD, 223, Rx, G0VXM, IO93IR61, 223, -20
1755282028, 2m, 144176092, FT8, G4PIQ, JO02OD, 223, Rx, DH3FBI, JN49NX, 230, -15
1755282058, 2m, 144175184, FT8, G4PIQ, JO02OD, 223, Rx, PD7JLP, JO32KQ, 263, -7
1755282148, 2m, 144176331, FT8, G4PIQ, JO02OD, 223, Rx, PD1B, JO32GQ49, 263, -7
1755282239, 2m, 144175051, FT8, G6XRK, IO91RN, 223, Rx, G0VXM, IO93IR61, 223, -16
1755282251, 2m, 144175752, FT8, G4DCV, IO91OF, 223, Rx, DB9VE, JN39HH, 230, -10
1755282240, 2m, 144174980, FT8, G0KTN, IO81TI, 223, Rx, G0VXM, IO93IR61, 223, -18
1755281981, 2m, 144174876, FT8, G0JCC, IO82MA21, 223, Rx, M0ALA, IO93GO, 223, -19
1755282086, 2m, 144175151, FT8, G0JCC, IO82MA21, 223, Rx, PD7JLP, JO32KQ, 263, -17
1755282236, 2m, 144175759, FT8, G0JCC, IO82MA21, 223, Rx, G0JDL, JO02SI84, 223, -14
1755282236, 2m, 144175013, FT8, G0JCC, IO82MA21, 223, Rx, G0VXM, IO93IR61, 223, -14
1755282206, 2m, 144175715, FT8, G4KWQ, IO92AQ09, 223, Rx, G0JDL, JO02SI84, 223, -8
1755282206, 2m, 144175672, FT8, G4SWX, JO02RF, 223, Rx, G0JDL, JO02SI84, 223, 32
1755282251, 2m, 144175754, FT8, G4SWX, JO02RF, 223, Rx, DB9VE, JN39HH, 230, 5
1755282266, 2m, 144175408, FT8, M0MST, IO82XB, 223, Rx, G0VXM, IO93IR61, 223, -12
1755282236, 2m, 144174971, FT8, G0LGS, IO81WV71, 223, Rx, G0VXM, IO93IR61, 223, -18
1755282251, 2m, 144175949, FT8, G0JDL, JO02SI84, 223, Rx, PA0KJK, JO22JL, 263, -4
1755282281, 2m, 144175947, FT8, G0JDL, JO02SI84, 223, Rx, PE1JSH, JO22TA, 263, -10
1755282327, 2m, 144174794, FT8, G0GXT, IO82RL, 223, Rx, G0VXM, IO93IR61, 223, -8
1755282206, 2m, 144175609, FT8, M0BAA, JO01NC, 223, Rx, G0JDL, JO02SI84, 223, -12
1755282224, 2m, 144175436, FT8, M0BAA, JO01NC, 223, Rx, DD7LG, JO33PN, 230, -18
1755282251, 2m, 144175690, FT8, M0BAA, JO01NC, 223, Rx, DB9VE, JN39HH, 230, 6
1755282208, 2m, 144175673, FT8, G8FJG, JO01CM43, 223, Rx, G0JDL, JO02SI84, 223, -15
