1755339371, 20m, 14076273, FT8, G1ZZC, IO90TT, 223, Rx, R2FDU, JO94WP55, 126, -11
1755339371, 20m, 14076283, FT8, G4ZJH, JO02RF, 223, Rx, R2FDU, JO94WP55, 126, -14
1755339374, 20m, 14075429, FT8, G4ZJH, JO02RF, 223, Rx, HA1ZW, JN86JT97, 239, -18
1755339372, 20m, 14076258, FT8, G6IQI, IO91HA, 223, Rx, DJ3DN, JN47UN, 230, -9
1755339372, 20m, 14076306, FT8, G6IQI, IO91HA, 223, Rx, R2FDU, JO94WP55, 126, -8
1755339375, 20m, 14074521, FT8, G6IQI, IO91HA, 223, Rx, R1BEO, KP50LM, 54, -12
1755339388, 20m, 14076030, FT8, G6IQI, IO91HA, 223, Rx, PA5COR, JO23TB90, 263, -18
1755339390, 20m, 14075780, FT8, G6IQI, IO91HA, 223, Rx, UR5LAK, KN89KL41, 288, -15
1755339117, 20m, 14075317, FT8, 2E0YQC, JO01JF, 223, Rx, IU3ACL, JN65CL, 248, -22
1755339329, 20m, 14075275, FT8, 2E0YQC, JO01JF, 223, Rx, 9A5E, JN75UV, 497, -19
1755339357, 20m, 14075402, FT8, 2E0YQC, JO01JF, 223, Rx, HA1BF, JN86LL, 239, -19
1755339360, 20m, 14074381, FT8, 2E0YQC, JO01JF, 223, Rx, SQ9FSH, JO90XJ, 269, -17
1755339387, 20m, 14074587, FT8, 2E0YQC, JO01JF, 223, Rx, IU5HIU, JN53DN85, 248, -11
1755339345, 20m, 14075561, FT8, GX0FRE, IO82UC, 223, Rx, 9A5E, JN75UV, 497, -7
1755339360, 20m, 14074627, FT8, GX0FRE, IO82UC, 223, Rx, EA7CN.P, IM67RI51, 281, -17
1755339360, 20m, 14075395, FT8, GX0FRE, IO82UC, 223, Rx, NG5GMZ, FM60, 291, -23
1755339386, 20m, 14074537, FT8, MW0DTH.QRP, IO81OO82, 294, Rx, IU5HIU, JN53DN85, 248, -16
1755339402, 20m, 14074947, FT8, MW0DTH.QRP, IO81OO82, 294, Rx, DB8BT, JO42NL, 230, -16
1755339347, 20m, 14076248, FT8, M0LOW, IO90KT06, 223, Rx, UY5BF, KN29TN, 288, -6
1755339357, 20m, 14074696, FT8, M0LOW, IO90KT06, 223, Rx, EA7JVC, IM76SQ, 281, -17
1755339357, 20m, 14075390, FT8, M0LOW, IO90KT06, 223, Rx, DF8IJ, JN48IS, 230, -16
1755339361, 20m, 14075835, FT8, M0LOW, IO90KT06, 223, Rx, RU3FA, KO84RV16, 54, -17
1755339372, 20m, 14076298, FT8, M0LOW, IO90KT06, 223, Rx, R2FDU, JO94WP55, 126, 0
1755339373, 20m, 14074320, FT8, M0LOW, IO90KT06, 223, Rx, EA7CN.P, IM67RI51, 281, -16
1755339402, 20m, 14074658, FT8, M0LOW, IO90KT06, 223, Rx, SP.M7TEI, JO74, 269, -6
1755339344, 20m, 14076228, FT8, 2E0VDV, IO81LG, 223, Rx, DJ3DN, JN47UN, 230, -11
1755339357, 20m, 14074384, FT8, 2E0VDV, IO81LG, 223, Rx, IK4LZH, JN54QM06, 248, -14
1755339357, 20m, 14075742, FT8, 2E0VDV, IO81LG, 223, Rx, SP7QJF, KO10FQ09, 269, -16
1755339357, 20m, 14076291, FT8, 2E0VDV, IO81LG, 223, Rx, DL0GEO, JO33RH, 230, -17
1755339372, 20m, 14076275, FT8, 2E0VDV, IO81LG, 223, Rx, R2FDU, JO94WP55, 126, -16
1755339389, 20m, 14075234, FT8, 2E0VDV, IO81LG, 223, Rx, CR7BTW, IN52SA, 272, -18
1755339402, 20m, 14076046, FT8, 2E0VDV, IO81LG, 223, Rx, UW8SM, KN28IV27HA, 288, -15
1755339402, 20m, 14075876, FT8, 2E0VDV, IO81LG, 223, Rx, OH5UY, KP20, 224, -18
1755339402, 20m, 14076542, FT8, 2E0VDV, IO81LG, 223, Rx, R6OJ, KN87UV, 54, -15
1755339312, 20m, 14076271, FT8, M5MOW, IO91VT55LM, 223, Rx, SP9JCN, JO90LI15, 269, -3
1755339312, 20m, 14075446, FT8, M5MOW, IO91VT55LM, 223, Rx, IV3CTT, JN65ST, 248, -1
1755339312, 20m, 14076290, FT8, M5MOW, IO91VT55LM, 223, Rx, UY5BF, KN29TN, 288, -6
1755339312, 20m, 14074899, FT8, M5MOW, IO91VT55LM, 223, Rx, OK1VPY, JO70GI09, 503, -16
1755339312, 20m, 14076631, FT8, M5MOW, IO91VT55LM, 223, Rx, IT9IRP, JM68ND15, 248, -15
1755339344, 20m, 14076292, FT8, M5MOW, IO91VT55LM, 223, Rx, DJ3DN, JN47UN, 230, -10
1755339372, 20m, 14076342, FT8, M5MOW, IO91VT55LM, 223, Rx, R2FDU, JO94WP55, 126, 1
1755339402, 20m, 14075940, FT8, M5MOW, IO91VT55LM, 223, Rx, OH5UY, KP20, 224, -9
