1755339387, 20m, 14076078, FT8, M0SLI, JO02, 223, Tx, DL1LN, JO54BH, 230, -20
1755339194, 20m, 14074456, FT8, G8KHF, IO92KG, 223, Tx, VE3AAT, FN03IQ, 1, -23
1755339358, 20m, 14074872, FT8, G8IXM, JO02PP29, 223, Tx, VE3AAT, FN03IQ, 1, -16
1755339357, 20m, 14084874, FT8, G8IXM, JO02PP29, 223, Tx, SP9GBA, JN99OQ15, 269, -9
1755339401, 20m, 14084303, FT8, G3WGC, JO02KT, 223, Tx, SP9GBA, JN99OQ15, 269, 9
1755339372, 20m, 14074595, FT8, M7CCZ, JO02ND, 223, Tx, DK3TNA, JO62PJ, 230, -18
1755339405, 20m, 14074297, FT8, G3WGC, JO02KT, 223, Tx, SH6DST, JO67KJ, 284, -24
1755339390, 20m, 14074155, FT8, M0MLS, IO92AN, 223, Tx, W1NT-6, FN42LU, 291, -3
1755339296, 20m, 14076355, FT8, M1DBW, IO91CO, 223, Tx, IU2FRL, JN55JE, 248, -8
1755339271, 20m, 14074450, FT8, G8KHF, IO92KG, 223, Tx, DK0TUI, JO50KQ, 230, -12
1755339404, 20m, 14074296, FT8, G3WGC, JO02KT, 223, Tx, DL3AG, JO52AO, 230, -8
1755339404, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, DL3AG, JO52AO, 230, -10
1755339331, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, SM4TYA, JP71FB, 284, -15
1755339390, 20m, 14074305, FT8, G3WGC, JO02KT, 223, Tx, G4IRN, IO82MO, 223, -12
1755339372, 20m, 14075381, FT8, G4LXX, JO02OA, 223, Tx, IU4RWI, JN54TL37, 248, -11
1755339390, 20m, 14074237, FT8, M0MLS, IO92AN, 223, Tx, WZ7I, FN20KK83, 291, -5
1755339417, 20m, 14074846, FT8, 2E0KCU, IO91KF, 223, Tx, SP2GJI, JO93CC, 269, -17
1755339375, 20m, 14075033, FT8, M5MOW, IO91VT55LM, 223, Tx, OH2BUA, KP30BX, 224, 0
1755339150, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, DL1ECN-8, JO32UO, 230, -9
1755339210, 20m, 14074297, FT8, G3WGC, JO02KT, 223, Tx, DL1ECN-8, JO32UO, 230, -10
1755339270, 20m, 14074453, FT8, G8KHF, IO92KG, 223, Tx, DL1ECN-8, JO32UO, 230, -13
1755339417, 20m, 14074870, FT8, G8IXM, JO02PP29, 223, Tx, SQ9ANB, JO90VD, 269, -21
1755339416, 20m, 14074856, FT8, 2E0KCU, IO91KF, 223, Tx, LB9GG, JP50MG, 266, -4
1755339270, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, TF4AH, HP75RM, 242, -13
1755339391, 20m, 14074297, FT8, G3WGC, JO02KT, 223, Tx, TF4AH, HP75RM, 242, -12
1755339402, 20m, 14074224, FT8, M0MLS, IO92AN, 223, Tx, OH7GIQ, KP32QV, 224, -9
1755339136, 20m, 14074853, FT8, M0LOW, IO90KT06, 223, Tx, G7ELK, IO90JV, 223, -16
1755339417, 20m, 14074846, FT8, 2E0KCU, IO91KF, 223, Tx, F4IFE.P, JN38JK, 227, -7
1755339418, 20m, 14074837, FT8, 2E0KCU, IO91KF, 223, Tx, SP2HHX, JO94HI55, 269, -13
1755339420, 20m, 14074867, FT8, G8IXM, JO02PP29, 223, Tx, SP2HHX, JO94HI55, 269, -24
1755339420, 20m, 14074856, FT8, 2E0KCU, IO91KF, 223, Tx, WK3N, EN91SN73EH, 291, -20
1755339371, 20m, 14074376, FT8, M0MLS, IO92AN, 223, Tx, PA1RW, JO32IH, 263, -11
1755339417, 20m, 14075056, FT8, M5MOW, IO91VT55LM, 223, Tx, F8MRQ, JN17CT, 227, -24
1755339417, 20m, 14074814, FT8, G8IXM, JO02PP29, 223, Tx, OJ0G, JP90NH, 167, -24
1755339417, 20m, 14074863, FT8, G8IXM, JO02PP29, 223, Tx, UY5BF, KN29TN, 288, -13
1755339417, 20m, 14075856, FT8, 2E0KCU, IO91KF, 223, Tx, DF3VG, JN48QM17, 230, -9
1755339330, 20m, 14075036, FT8, M5MOW, IO91VT55LM, 223, Tx, F1PSX, JN08CA02RE, 227, -8
1755339405, 20m, 14074988, FT8, M5MOW, IO91VT55LM, 223, Tx, KM3T-3, FN42ET, 291, -10
1755339210, 20m, 14074225, FT8, M0MLS, IO92AN, 223, Tx, DK9JHB.SDR, JO50SV, 230, -13
1755339240, 20m, 14074450, FT8, G8KHF, IO92KG, 223, Tx, DK9JHB.SDR, JO50SV, 230, -14
1755339417, 20m, 14074842, FT8, 2E0KCU, IO91KF, 223, Tx, LA1XJA, JO49TD83, 266, -13
1755339194, 20m, 14074450, FT8, G8KHF, IO92KG, 223, Tx, RC3T, LO26AH, 54, -15
1755339284, 20m, 14074295, FT8, G3WGC, JO02KT, 223, Tx, RC3T, LO26AH, 54, -9
1755339420, 20m, 14075030, FT8, M5MOW, IO91VT55LM, 223, Tx, RC3T, LO26AH, 54, -16
1755339417, 20m, 14074847, FT8, 2E0KCU, IO91KF, 223, Tx, CT1CGO, IM58KQ00, 272, -5
1755339150, 20m, 14074222, FT8, M0MLS, IO92AN, 223, Tx, DL1ECN-1, JO32UO, 230, -10
1755339210, 20m, 14074294, FT8, G3WGC, JO02KT, 223, Tx, DL1ECN-1, JO32UO, 230, -10
1755339300, 20m, 14074447, FT8, G8KHF, IO92KG, 223, Tx, DL1ECN-1, JO32UO, 230, -14
1755339420, 20m, 14074872, FT8, G8IXM, JO02PP29, 223, Tx, W9IRL, EN62DA, 291, -18
1755339239, 20m, 14075624, FT8, M6INJ, IO90KT, 223, Tx, EA1FU, IN63CQ65, 281, -19
1755339254, 20m, 14075822, FT8, GW7HQL, IO81IK, 294, Tx, EA1FU, IN63CQ65, 281, -20
1755339284, 20m, 14075383, FT8, G4LXX, JO02OA, 223, Tx, EA1FU, IN63CQ65, 281, -13
1755339402, 20m, 14074294, FT8, G3WGC, JO02KT, 223, Tx, KB1ZBZ, FN34NS, 291, -24
1755339417, 20m, 14074840, FT8, 2E0KCU, IO91KF, 223, Tx, LY3EC, KO24AJ, 146, -16
1755339432, 20m, 14074227, FT8, M0MLS, IO92AN, 223, Tx, SP7QJF, KO10FQ09, 269, -16
1755339419, 20m, 14075037, FT8, M5MOW, IO91VT55LM, 223, Tx, 9Y4C, FK90GP, 90, -15
1755339375, 20m, 14076081, FT8, M0SLI, JO02, 223, Tx, HA8TKS, JN96UV18, 239, -2
1755339420, 20m, 14074870, FT8, 2E0KCU, IO91KF, 223, Tx, SV2SIH, KN10MS, 236, -22
1755339417, 20m, 14074866, FT8, G8IXM, JO02PP29, 223, Tx, OE6TNO, JN77RC, 206, -15
1755339417, 20m, 14075034, FT8, M5MOW, IO91VT55LM, 223, Tx, W2SAP, FN22XR, 291, -15
